gram,freq,strong_ideation,prefix_ideation,midfix_ideation,suffix_ideation,notes_ideation_inhibitors,words_we_ideated,words_that_ideated_that_are_spell_wrong_actually,ideation_boosters
gle,71,m,m,n,y,,"glen, angle, eagle",,
are,71,y,m,n,y,its own word,"area, care, rare",,rime family (-are)
amp,71,y,m,n,y,its own word,"camp, lamp, ramp",,rime family (-amp)
reg,70,m,y,n,n,overly productive prefix,"region, regard, regime",,
bri,70,y,y,n,n,,"bring, brief, bride",,distinct roots
ute,69,y,n,n,y,,"cute, route, outer",,rime family (-ute)
sor,69,m,m,n,y,,"sort, sorry, resort",,
she,69,y,y,n,n,its own word,"shed, sheet, shell",,distinct roots
nci,69,n,n,y,n,,"pencil, council, ancient",,
duc,69,m,m,y,n,,"duck, reduce, product",,
ord,68,y,m,n,y,,"word, lord, ford",,rime family (-ord)
las,68,m,m,n,m,,"last, class, flash",,
sha,67,y,y,n,n,,"shall, share, shape",,distinct roots
rge,67,m,n,n,y,,"urge, large, merge",,
ote,67,y,n,n,y,,"note, vote, hotel",,rime family (-ote)
ft,67,m,n,n,y,,"left, gift, soft",,
conc,67,m,y,n,n,,"concept, concern, concert",,
vel,66,m,m,n,y,,"level, novel, travel",,
ude,66,m,n,n,y,,"nude, dude, crude",,
rad,66,m,y,n,m,,"brad, grad, radio",,
ext,66,m,y,n,m,,"next, text, extra",,
ail,66,y,n,n,y,its own word,"mail, fail, rail",,rime family (-ail)
oy,65,n,n,n,y,vowel diphthong,"boy, toy, joy",,rime family (-oy)
lor,65,m,m,n,y,,"lord, color, glory",,
ium,65,n,n,n,y,,"medium, sodium, premium",,
ash,65,y,n,n,y,its own word,"cash, wash, dash",,rime family (-ash)
ong,64,y,n,n,y,,"long, song, along",,rime family (-ong)
nes,64,n,m,y,n,,"nest, honest, witness",,
hol,64,y,y,n,m,,"hold, hole, holy",,distinct roots
gin,64,m,m,n,y,its own word,"begin, engine, origin",,
gar,64,y,y,n,m,,"sugar, cigar, garden",,
dge,64,m,n,n,y,,"edge, judge, lodge",,
dep,64,m,y,n,n,overly productive prefix,"depth, depot, deputy",,
arm,64,y,y,n,y,its own word,"farm, army, arms",,rime family (-arm)
san,63,y,y,n,n,,"sand, sans, sandy",,distinct roots
oth,63,y,m,n,y,,"both, other, cloth",,rime family (-oth)
aut,63,m,y,n,n,,"auto, author, beauty",,
uit,62,m,n,n,y,,"suit, quit, quite",,
thr,62,y,y,n,n,,"thru, three, throw",,distinct roots
stu,62,y,y,n,n,,"stud, study, stuff",,distinct roots
sn,62,y,y,n,n,,"snow, snap, snake",,distinct roots
mil,62,y,y,n,n,,"mile, milk, mill",,distinct roots
ye,61,y,y,n,y,its own word,"yes, yet, eye",,distinct roots
uff,61,m,n,n,m,,"stuff, bluff, buffer",,
sma,61,m,m,n,m,,"small, smart, plasma",,
sem,61,m,y,n,n,,"semi, seminar, assembly",,
out,61,y,y,n,y,its own word,"about, south, youth",,rime family (-out)
gan,61,m,m,n,m,,"gang, began, organ",,
spec,60,m,y,n,n,,"specs, aspect, special",,
pul,60,y,y,n,n,,"pull, pulp, pulse",,distinct roots
ode,60,m,n,n,y,its own word,"code, mode, node",,
mul,60,m,m,n,n,,"formula, multiple, multimedia",,
fin,60,y,y,n,m,its own word,"find, fine, final",,distinct roots
def,60,m,y,n,n,,"define, defend, defeat",,
stri,59,m,y,n,n,,"strip, string, strike",,
rus,59,m,m,n,y,,"rush, trust, virus",,
rom,59,m,m,n,m,,"from, prom, prompt",,
nor,59,m,y,n,y,its own word,"norm, north, minor",,
vit,58,m,m,n,n,,"vital, invite, vitamin",,
try,58,m,m,n,y,its own word,"entry, trying, poetry",,
tel,58,m,y,n,m,,"tell, hotel, motel",,
sec,58,m,y,n,n,,"second, secure, sector",,
esp,58,n,m,y,n,,"respect, despite, respond",,
emb,58,m,m,n,n,,"member, embassy, embrace",,
ase,57,y,n,n,y,,"case, base, ease",,rime family (-ase)
alt,57,m,y,n,m,,"salt, alto, alter",,
ake,57,y,n,n,y,,"make, take, lake",,rime family (-ake)
rf,56,n,n,y,m,,"surf, perfect, surface",,
phy,56,m,y,n,y,,"trophy, physics, physical",,
ount,56,y,n,n,y,,"count, mount, county",,rime family (-ount)
ink,56,y,n,n,y,its own word,"link, pink, sink",,rime family (-ink)
fle,56,y,y,n,m,,"flex, fleet, flesh",,distinct roots
ank,56,y,m,n,y,,"bank, rank, tank",,rime family (-ank)
som,55,m,m,m,n,,"some, awesome, threesome",,
ship,55,m,m,n,y,its own word,"worship, shipping, township",,
rog,55,m,m,n,m,,"frog, roger, rogue",,
rid,55,m,m,n,m,its own word,"ride, grid, ridge",,
ood,55,y,n,n,y,,"good, food, wood",,rime family (-ood)
oe,55,n,n,n,y,vowel diphthong,"toe, doe, does",,rime family (-oe)
isp,55,m,n,n,m,,"lisp, crisp, display",,
hon,55,m,m,n,m,,"phone, honor, honey",,
fra,55,y,y,n,n,,"frame, frank, fraud",,distinct roots
ctor,55,m,n,n,y,,"actor, sector, doctor",,
wn,54,m,n,n,y,,"own, down, town",,
vent,54,m,m,n,m,its own word,"event, advent, prevent",,
thi,54,y,y,n,n,,"this, thin, think",,distinct roots
sho,54,y,y,n,n,overly productive prefix,"show, shop, shot",,
sat,54,m,y,n,n,its own word,"satin, satisfy, satellite",,
lon,54,m,y,n,y,,"long, lone, along",,
bel,54,y,y,n,m,,"bell, belt, below",,distinct roots
bat,54,y,y,n,m,its own word,"bath, batch, baton",,distinct roots
ban,54,y,y,n,m,its own word,"bank, band, bang",,distinct roots
vat,53,n,n,y,n,its own word,"avatar, private, activate",,
ung,53,m,n,n,m,,"lung, hung, young",,
ump,53,y,n,n,y,its own word,"jump, pump, dump",,rime family (-ump)
stru,53,m,y,n,n,,"struck, struggle, structure",,
pic,53,m,m,n,m,,"pick, epic, topic",,
oss,53,y,n,n,y,,"loss, boss, moss",,rime family (-oss)
med,53,m,y,n,m,,"media, armed, medal",,
lut,53,n,n,y,m,,"slut, flute, clutch",,
lim,53,m,y,n,m,,"slim, lime, limit",,
lc,53,n,n,y,n,,"falcon, welcome, alcohol",,
gic,53,m,n,n,m,,"magic, logic, logical",,
ead,53,y,n,n,y,,"read, head, lead",,rime family (-ead)
del,53,y,y,n,m,,"dell, model, delta",,distinct roots
cap,53,y,y,n,n,its own word,"cape, escape, capital",,
bor,53,m,y,n,y,,"born, bore, labor",,
ax,53,y,m,n,y,its own word,"tax, fax, wax",,rime family (-ax)
arch,53,m,y,n,m,its own word,"march, search, archive",,
ange,53,y,m,n,y,,"range, angel, anger",,rime family (-ange)
amb,53,m,y,n,m,,"lamb, amber, bamboo",,
ya,52,y,y,n,n,,"yard, yarn, yahoo",,distinct roots
wr,52,y,y,n,n,,"wrap, write, wrote",,distinct roots
rov,52,n,n,y,n,,"prove, grove, drove",,
rip,52,m,m,n,m,its own word,"trip, ripe, grip",,
lum,52,m,m,n,m,,"volume, column, alumni",,
lm,52,m,n,n,y,,"film, palm, calm",,
evi,52,m,m,n,n,,"evil, devil, review",,
eth,52,m,y,n,m,,"teeth, method, ethics",,
dra,52,y,y,n,n,,"draw, drag, draft",,distinct roots
cru,52,m,y,n,n,,"crude, cruel, cruise",,
bal,52,y,y,n,y,,"ball, bald, balls",,distinct roots
ward,51,m,n,n,y,its own word,"award, toward, reward",,
tant,51,m,n,n,y,,"mutant, instant, distant",,
rum,51,m,n,n,y,its own word,"drum, forum, serum",,
ras,51,n,n,y,n,,"crash, brass, grass",,
pha,51,m,y,n,m,,"phase, alpha, phantom",,
ox,51,y,m,n,y,its own word,"box, fox, sox",,
orn,51,y,,,y,,"corn, porn, horn",,rime family (-orn)
mag,51,y,y,m,,,"magazine, imagine",,
inv,51,y,y,,,,"invent, invite, invoke",,
erp,51,m,n,y,n,,"excerpt, interpret, enterprise",,
win,50,y,y,n,m,its own word,"wine, wind, twin",,distinct roots
une,50,m,m,n,y,,"tune, tuner, immune",,
ule,50,m,n,n,y,,"rule, module, schedule",,
tw,50,y,y,n,n,,"two, twin, twice",,distinct roots
rav,50,y,y,m,,,"rave, ravinous, crave",,
pon,50,m,m,n,m,,"upon, pond, pony",,
ped,50,y,y,,,,"pedestrian, pedephile, peddle",,
mou,50,y,y,n,n,,"mount, mouse, mouth",,distinct roots
hes,50,n,n,y,m,,"these, chest, chess",,
bur,50,m,y,n,n,its own word,"burn, burst, bureau",,
bro,50,y,y,n,n,,"brown, broad, broke",,distinct roots
vin,49,n,n,y,n,,,,
ull,49,y,n,n,y,,"bull, full, mull",,rime family (-ull)
tial,49,n,n,n,y,broad morpheme,,"special, racial, mutual",
spa,49,y,y,n,n,,"spank, spam, spat",,distinct roots
oke,49,y,n,n,y,,"spoke, toke, woke",,rime family (-oke)
kn,49,y,y,n,n,,"knot, knew, knit",,distinct roots
ient,49,n,n,n,y,broad morpheme,,,
eed,49,y,n,n,y,,"need, weed, seed",,rime family (-eed)
det,49,n,y,n,n,,determine,,
van,48,n,y,y,n,"dark ending, its own word",vantage,,
uck,48,y,n,n,y,,"luck, fuck, duck",,rime family (-uck)
pas,48,m,y,n,n,"ends in s, almost its own word","past, passage",,distinct roots
nct,48,n,n,m,y,,,,
ith,48,n,n,n,y,,with,,
gal,48,m,y,m,y,"dark ending, its own word",gallon,,
eva,48,n,m,n,n,,,,
bli,48,y,y,n,n,,"blink, blind, bling",,
avi,48,n,n,m,n,,,,
abo,48,m,y,n,n,,"about, above",,
zz,47,n,n,n,y,double letter,,,
ume,47,n,n,y,m,,fume,,
rce,47,n,n,n,y,,,,
ound,47,y,n,n,y,,"round, found, bound",,rime family (-ound)
exc,47,m,y,n,n,,"excel, except",executive,
dist,47,m,y,n,n,,"distance, distribution",destroy,
conf,47,y,y,n,n,,"conference, confer, conform",,
