word,image,emoji,fit
duration,,⏱️,2
duress,,😖,1
during,,⏳️,1
dusk,,🌆,3
dusky,,🌆,2
dust,,🌫️,2
duster,,🧹,3
dusty,,🌫️,2
dutiful,,✅️,1
duty,,📋️,2
dwarf,,🧝,2
dwarves,,🧝,2
dweeb,,🤓,2
dwell,,🏠️,1
dwelling,,🏠️,3
dwelt,,🏠️,1
dwindle,,📉,2
dye,,🎨,3
dying,,💀,2
dyke,,🌊,1
dynamic,,⚡️,2
dynamics,,⚡️,1
dynamism,,⚡️,1
dynamite,,🧨,3
dynamo,,⚡️,1
dynastic,,👑,1
dynasty,,👑,2
dysentery,,🤢,1
dysfunction,,⚠️,1
dysfunctional,,⚠️,1
dyslexia,,🔤,1
dyslexic,,🔤,1
dyspepsia,,🤢,1
dyspeptic,,🤢,1
each,,☑️,1
eager,,😃,2
eagle,,🦅,3
eaglet,,🦅,2
ear,,👂️,3
earl,,👑,2
early,,🌅,2
earn,,💵,2
earnest,,🙏,1
earnings,,💵,2
earring,,💍,3
earth,,🌍️,3
earthen,,🏺,1
earthling,,👽️,1
earthly,,🌍️,2
earthy,,🌱,1
ease,,😌,2
easel,,🖼️,3
easily,,😌,1
east,,🧭,2
easterly,,🧭,1
eastern,,🧭,1
easterner,,🧭,1
eastward,,➡️,1
eastwards,,➡️,1
easy,,😌,2
eat,,🍽️,3
eatable,,🍽️,2
eaten,,🍽️,2
eatery,,🍽️,3
eaves,,🏠️,1
ebb,,🌊,2
ebony,,⚫️,1
ebullience,,😄,1
ebullient,,😄,1
eccentric,,🤪,2
eccentricity,,🤪,1
ecclesiastic,,⛪️,2
ecclesiastical,,⛪️,2
echelon,,🎖️,1
echo,,🔊,2
eclair,,🍮,2
eclectic,,🎨,1
eclecticism,,🎨,1
eclipse,,🌒,3
ecological,,🌱,2
ecologist,,🌱,2
ecology,,🌱,2
economic,,💹,2
economical,,💰️,1
economics,,💹,2
economist,,💹,2
economize,,💰️,1
economy,,💹,2
ecosystem,,🌍️,2
ecstasy,,🥳,2
ecstatic,,🥳,2
ecumenical,,⛪️,1
eczema,,🩹,1
eddy,,🌀,2
edema,,🩹,1
edge,,📐,2
edgeways,,↔️,1
edging,,✂️,1
edgy,,😬,1
edible,,🍽️,2
edict,,📜,2
edification,,📚️,1
edifice,,🏛️,2
edify,,📚️,1
edit,,✏️,3
edition,,📖,2
editor,,📝,2
editorial,,📰,2
editorialize,,📰,1
educable,,🎓️,1
educate,,🎓️,2
educated,,🎓️,2
education,,🎓️,3
educational,,🎓️,2
eel,,🐍,2
eerie,,👻,2
eery,,👻,2
efface,,🚫,1
effect,,➡️,1
effective,,✅️,2
effectual,,✅️,1
effeminacy,,💅,1
effeminate,,💅,1
effervesce,,🥂,1
effervescence,,🥂,1
effervescent,,🥂,1
effete,,😔,1
efficacious,,✅️,1
efficacy,,✅️,1
efficiency,,⚙️,2
efficient,,⚙️,2
effigy,,🪆,1
effluent,,🚰,1
effort,,💪,2
effortless,,✅️,1
effrontery,,😏,1
effusion,,💦,1
effusive,,😄,1
egalitarian,,⚖️,2
egalitarianism,,⚖️,1
egg,,🥚,3
eggnog,,🥛,2
ego,,🪞,2
egocentric,,🪞,1
egoism,,🪞,1
egoist,,🪞,1
egoistic,,🪞,1
egotism,,🪞,1
egotist,,🪞,1
egotistic,,🪞,1
egotistical,,🪞,1
egregious,,😱,1
egress,,🚪,2
egret,,🐦️,3
eh,,🤷,2
eider,,🦆,2
eight,,8️⃣,3
eighteen,,🔢,2
eighteenth,,🔢,1
eighth,,🔢,1
eightieth,,🔢,1
eighty,,🔢,2
either,,🔀,1
ejaculate,,💬,1
ejaculation,,💬,1
eject,,⏏️,3
ejection,,⏏️,2
eke,,➕️,1
elaborate,,📝,1
elaboration,,📝,1
elan,,✨️,1
elapse,,⏳️,1
elastic,,🎗️,2
elasticity,,🎗️,1
elate,,😄,1
elated,,😄,2
elation,,😄,2
elbow,,💪,3
elder,,👴,2
elderly,,👴,2
eldest,,👴,1
elect,,🗳️,2
election,,🗳️,3
electioneer,,🗳️,1
elective,,☑️,1
elector,,🗳️,1
electoral,,🗳️,1
electorate,,🗳️,1
electric,,⚡️,3
electrical,,⚡️,2
electrician,,⚡️,2
electricity,,⚡️,3
electrification,,⚡️,1
electrify,,⚡️,2
electrifying,,⚡️,2
electrocute,,⚡️,2
electrocution,,⚡️,2
electrode,,🔌,2
electrolysis,,🔌,1
electrolyte,,🔋,1
electrolytic,,🔋,1
electromagnet,,🧲,2
electromagnetic,,🧲,1
electron,,⚛️,2
electronic,,📱,2
electronics,,📱,2
electroplate,,🔌,1
elegance,,👗,1
elegant,,👗,2
elegy,,😢,1
element,,⚛️,2
elemental,,⚛️,1
elementary,,🏫,2
elephant,,🐘,3
elephantine,,🐘,1
elevate,,⬆️,2
elevation,,⛰️,2
elevator,,🛗,3
eleven,,🔢,2
eleventh,,🔢,1
elf,,🧝,3
elfin,,🧝,2
elfish,,🧝,1
elicit,,➡️,1
eligibility,,✅️,1
eligible,,✅️,2
eliminate,,❌️,2
elimination,,❌️,2
elite,,🏆️,2
elitism,,🏆️,1
elitist,,🏆️,1
elixir,,🧪,2
elk,,🦌,3
ell,,📏,1
ellipse,,🥚,2
ellipses,,🥚,1
ellipsis,,➰️,1
elliptic,,🥚,1
elliptical,,🥚,1
elm,,🌳,2
elocution,,🗣️,1
elocutionist,,🗣️,1
elongate,,➡️,1
elongation,,➡️,1
elope,,💍,2
elopement,,💍,1
eloquence,,🗣️,1
eloquent,,🗣️,2
else,,🔀,1
elucidate,,💡,1
elucidation,,💡,1
elude,,🏃,1
elusive,,🏃,1
elves,,🧝,2
em,,🔤,1
emaciate,,😖,1
emaciated,,😖,2
emaciation,,😖,1
emanate,,🌫️,1
emanation,,🌫️,1
emancipate,,🕊️,2
emancipation,,🕊️,2
emasculate,,😔,1
emasculation,,😔,1
embalm,,⚰️,1
embankment,,🏞️,1
embargo,,🚫,2
embark,,🚢,2
embarkation,,🚢,1
embarrass,,😳,3
embarrassingly,,😳,1
embarrassment,,😳,2
embassy,,🏛️,2
embattled,,⚔️,1
embed,,📥️,1
embellish,,✨️,1
embellishment,,✨️,1
ember,,🔥,2
embezzle,,💰️,2
embezzlement,,💰️,2
embitter,,😠,1
emblazon,,🛡️,1
emblem,,🛡️,2
emblematic,,🛡️,1
embodiment,,🧍,1
embody,,🧍,1
embolden,,💪,1
embolism,,🩺,1
emboss,,🖼️,1
embrace,,🤗,3
embroider,,🧵,2
embroidery,,🧵,3
embroil,,🌀,1
embryo,,🐣,2
embryologist,,🔬,1
embryology,,🔬,1
embryonic,,🐣,1
emcee,,🎤,3
emend,,✏️,1
emendation,,✏️,1
emerald,,💚,2
emerge,,🌱,1
emergence,,🌱,1
emergency,,🚨,3
emergent,,🚨,1
emeritus,,🎓️,1
emery,,📄,1
emetic,,🤮,1
emigrant,,🧳,2
emigrate,,🧳,2
emigration,,🧳,2
emigre,,🧳,1
eminence,,👑,1
eminent,,⭐️,1
emir,,👑,1
emirate,,👑,1
emissary,,🕊️,1
emission,,💨,2
emit,,💨,2
emollient,,🧴,2
emote,,🎭️,1
emotion,,😢,2
emotional,,😢,2
empathize,,🤝,1
empathy,,🤝,2
emperor,,👑,3
emphases,,‼️,1
emphasis,,‼️,2
emphasize,,‼️,2
emphatic,,‼️,1
emphysema,,🫁,1
empire,,🏛️,2
empirical,,🔬,1
empiricism,,🔬,1
employ,,💼,2
employable,,💼,1
employee,,👔,2
employer,,💼,2
employment,,💼,3
emporia,,🏬,1
emporium,,🏬,2
empower,,💪,2
empress,,👸,3
empty,,📭️,3
emu,,🦤,3
emulate,,🪞,1
emulation,,🪞,1
emulsify,,🧴,1
emulsion,,🧴,1
enable,,✅️,1
enact,,📜,1
enactment,,📜,1
enamel,,🦷,2
enamor,,😍,1
encamp,,⛺️,2
encampment,,⛺️,2
encapsulate,,💊,1
encapsulation,,💊,1
encase,,📦️,1
encephalitis,,🧠,1
enchant,,✨️,2
enchantment,,✨️,2
enchantress,,🧙,2
enchilada,,🌯,3
encircle,,⭕️,2
encirclement,,⭕️,1
enclave,,🏘️,1
enclose,,📦️,1
enclosure,,🚧,2
encode,,🔐,2
encompass,,🌐,1
encore,,👏,2
encounter,,🤝,1
encourage,,👍️,2
encouragement,,👍️,2
encouraging,,👍️,1
encouragingly,,👍️,1
encroach,,🚶,1
encroachment,,🚶,1
encrust,,🧊,1
encrustation,,🧊,1
encumber,,⛓️,1
encumbrance,,⛓️,1
encyclical,,📜,1
encyclopaedia,,📚️,2
encyclopedia,,📚️,3
encyclopedic,,📚️,2
end,,🔚,3
endanger,,⚠️,2
endear,,💕,1
endearment,,💕,2
endeavor,,💪,1
endemic,,🌍️,1
ending,,🔚,2
endive,,🥬,3
endless,,♾️,2
endocrine,,🩺,1
endorse,,✍️,2
endorsement,,✍️,1
endow,,🎁,1
endowment,,🎁,1
endurable,,💪,1
endurance,,💪,2
endure,,💪,2
enduring,,💪,1
endways,,➡️,1
enema,,🩺,1
enemy,,👿,3
energetic,,⚡️,2
energize,,⚡️,2
energy,,⚡️,3
enervate,,😴,1
enfeeble,,😔,1
enfold,,🫂,1
enforce,,👮,2
enforceable,,👮,1
enforcement,,👮,2
enfranchise,,🗳️,1
enfranchisement,,🗳️,1
engage,,💍,2
engaged,,💍,3
engagement,,💍,3
engaging,,😊,1
engender,,🌱,1
engine,,🚗,3
engineer,,👷,3
engineering,,⚙️,2
engorge,,🍽️,1
engrave,,🪨,2
engraving,,🪨,2
engross,,📖,1
engulf,,🌊,2
enhance,,⬆️,2
enhancement,,⬆️,1
enigma,,❓️,2
enigmatic,,❓️,1
enjoin,,📜,1
enjoy,,😊,2
enjoyable,,😊,2
enjoyment,,😊,2
enlarge,,🔍️,2
enlargement,,🔍️,2
enlighten,,💡,2
enlightened,,💡,2
enlightenment,,💡,2
enlist,,✍️,2
enlistee,,🎖️,1
enlistment,,✍️,1
enliven,,✨️,1
enmesh,,🕸️,1
enmity,,😠,1
ennoble,,👑,1
ennui,,😑,2
enormity,,😱,1
enormous,,🐘,2
enough,,✋️,1
enquire,,❓️,2
enquiry,,❓️,2
enrage,,😡,2
enrapture,,😍,1
enrich,,💰️,2
enrichment,,💰️,1
enrol,,📝,2
enroll,,📝,2
enrollment,,📝,2
ensconce,,🛋️,1
ensemble,,🎻,2
enshrine,,⛪️,1
enshroud,,🫥,1
ensign,,🚩,2
enslave,,⛓️,2
enslavement,,⛓️,2
ensnare,,🕸️,1
ensue,,➡️,1
ensure,,✅️,1
entail,,➡️,1
entangle,,🕸️,2
entanglement,,🕸️,2
entente,,🤝,1
enter,,🚪,2
enterprise,,🏢,2
enterprising,,💡,1
entertain,,🎭️,2
entertainer,,🎭️,3
entertaining,,🎭️,2
entertainingly,,🎭️,1
entertainment,,🎭️,3
enthral,,😍,1
enthrall,,😍,1
enthralling,,😍,1
enthrone,,👑,1
enthuse,,🤩,1
enthusiasm,,🤩,2
enthusiast,,🤩,2
enthusiastic,,🤩,2
entice,,😏,1
enticement,,😏,1
entire,,💯,1
entirety,,💯,1
entitle,,📛,1
entitlement,,📛,1
entity,,🔷,1
entomb,,⚰️,2
entombment,,⚰️,1
entomological,,🐜,1
entomologist,,🐜,2
entomology,,🐜,2
entourage,,👥,2
entrails,,🩸,1
entrance,,🚪,3
entrant,,🏃,1
entrap,,🪤,2
entrapment,,🪤,1
entreat,,🙏,1
entreaty,,🙏,1
entree,,🍽️,2
entrench,,🕳️,1
entrenchment,,🕳️,1
entrepreneur,,💼,2
entrepreneurial,,💼,1
entrust,,🤝,1
entry,,🚪,2
entwine,,🌀,1
enumerate,,🔢,2
enumeration,,🔢,1
enunciate,,🗣️,1
enunciation,,🗣️,1
envelop,,📦️,1
envelope,,✉️,3
envelopment,,📦️,1
enviable,,😍,1
envious,,😒,2
environment,,🌳,2
environmental,,🌳,2
environs,,🏞️,1
envisage,,💭,1
envision,,💭,1
envoy,,🕊️,1
envy,,😒,2
enzyme,,🧬,2
eon,,⏳️,2
epaulet,,🎖️,2
epaulette,,🎖️,2
ephemeral,,🦋,1
epic,,🏆️,2
epicenter,,🎯,2
epicure,,🍷,1
epicurean,,🍷,1
epidemic,,🦠,2
epidermal,,🩹,1
epidermis,,🩹,1
epiglottis,,🩺,1
epigram,,📜,1
epigrammatic,,📜,1
epilepsy,,🧠,1
epileptic,,🧠,1
epilog,,📖,1
epilogue,,📖,2
episode,,📺️,2
episodic,,📺️,1
epistle,,✉️,2
epitaph,,🪦,3
epithet,,🏷️,1
epitome,,💯,1
epitomize,,💯,1
epoch,,⏳️,2
epochal,,⏳️,1
epoxy,,🧪,2
equability,,⚖️,1
equable,,⚖️,1
equal,,🟰,2
equality,,⚖️,2
equalization,,⚖️,1
equalize,,⚖️,1
equanimity,,😌,1
equate,,🟰,1
equation,,🧮,2
equator,,🌐,2
equatorial,,🌴,1
equestrian,,🐎,2
equidistant,,📏,1
equilateral,,🔺,1
equilibrium,,⚖️,2
equine,,🐎,2
equinoctial,,🌗,1
equinox,,🌗,2
equip,,🎒,1
equipment,,🧰,2
equitable,,⚖️,1
equity,,⚖️,2
equivalence,,🟰,1
equivalent,,🟰,1
equivocal,,🤷,1
equivocate,,🤷,1
equivocation,,🤷,1
era,,⏳️,2
eradicate,,🚫,2
eradication,,🚫,2
erase,,🧹,3
eraser,,🧹,3
erasure,,🧹,2
ere,,🔗,1
erect,,📐,2
erection,,📐,2
ergonomics,,🪑,2
ermine,,🦫,2
erode,,🌊,2
erogenous,,💋,2
erosion,,🌊,3
erosive,,🌊,2
erotic,,💋,2
erotica,,💋,2
eroticism,,💋,2
err,,❌️,2
errand,,📝,2
errant,,🚶,2
errata,,📝,2
erratic,,🎢,2
erroneous,,❌️,2
error,,❌️,3
ersatz,,🔁,2
erstwhile,,🕰️,2
erudite,,🎓️,2
erudition,,🎓️,2
erupt,,🌋,3
eruption,,🌋,3
escalate,,📈,2
escalation,,📈,2
escalator,,🛗,3
escapade,,🏃,2
escape,,🏃,3
escapee,,🏃,2
escapism,,🎬️,2
escapist,,🎬️,2
escarole,,🥬,2
escarpment,,⛰️,2
eschew,,🚫,2
escort,,👮,2
escrow,,🏦,2
escutcheon,,🛡️,2
esophagi,,🍽️,1
esophagus,,🍽️,2
esoteric,,🔮,2
especial,,⭐️,1
especially,,⭐️,1
espionage,,🕵️,3
espousal,,🤝,2
espouse,,🤝,2
espresso,,☕️,3
espy,,👀,2
esquire,,🎩,2
essay,,📝,3
essayist,,📝,2
essence,,🌸,2
essential,,✅️,2
establish,,🏛️,2
establishment,,🏛️,2
estate,,🏰,2
esteem,,🙏,2
esthete,,🎨,2
esthetic,,🎨,2
esthetics,,🎨,2
estimable,,👍️,2
estimate,,🧮,2
estimation,,🧮,2
estrange,,💔,2
estranged,,💔,2
estrangement,,💔,2
estrogen,,💊,2
estuary,,🌊,2
etch,,✏️,2
etching,,✏️,2
eternal,,♾️,2
eternity,,♾️,2
ether,,💨,2
ethereal,,✨️,2
ethic,,⚖️,2
ethical,,⚖️,2
ethics,,⚖️,2
ethnic,,🌍️,2
ethnicity,,🌍️,2
ethnological,,🌍️,1
ethnologist,,🌍️,1
ethnology,,🌍️,1
ethos,,📜,1
etiquette,,🎩,2
etude,,🎵,2
etymological,,📖,1
etymologist,,📖,1
etymology,,📖,2
eucalypti,,🌿,1
eucalyptus,,🌿,3
eulogize,,🕊️,2
eulogy,,🕊️,2
eunuch,,🚫,1
euphemism,,💬,1
euphemistic,,💬,1
euphoria,,🥳,3
euphoric,,🥳,3
eureka,,💡,3
euro,,💶,3
euthanasia,,😔,1
evacuate,,🚨,2
evacuation,,🚨,2
evacuee,,🚨,2
evade,,🏃,2
evaluate,,📊,2
evaluation,,📊,2
evangelical,,✝️,2
evangelism,,✝️,2
evangelist,,✝️,2
evangelistic,,✝️,2
evangelize,,✝️,2
evaporate,,💨,3
evaporation,,💨,3
evasion,,🏃,2
evasive,,🏃,2
eve,,🌙,2
even,,🟰,1
evening,,🌆,3
event,,🎉,2
eventful,,🎉,2
eventual,,⏳️,1
eventuality,,⏳️,1
ever,,♾️,1
everglade,,🐊,2
every,,🔢,1
evict,,🚪,2
eviction,,🚪,2
evidence,,🔍️,2
evident,,👍️,1
evil,,😈,3
evince,,👍️,1
eviscerate,,🔪,2
evocation,,💭,1
evocative,,💭,1
evoke,,💭,2
evolution,,🧬,3
evolutionary,,🧬,2
evolve,,🧬,2
ewe,,🐑,3
ewer,,🏺,2
ex,,💔,2
exacerbate,,📈,2
exacerbation,,📈,2
exact,,🎯,2
exacting,,🎯,2
exactitude,,🎯,2
exaggerate,,📢,2
exaggeration,,📢,2
exalt,,🙌,2
exaltation,,🙌,2
exam,,📝,3
examination,,📝,3
examine,,🔍️,3
example,,📌,2
exasperate,,😤,2
exasperating,,😤,2
exasperation,,😤,2
excavate,,⛏️,3
excavation,,⛏️,3
exceed,,📈,2
exceedingly,,📈,1
excel,,📈,2
excellence,,🏆️,2
excellent,,🏆️,3
except,,🚫,1
excepting,,🚫,1
exception,,❗️,2
exceptional,,🏆️,2
excerpt,,📄,2
excess,,🔺,2
excessive,,🔺,2
exchange,,🔄,3
exchangeable,,🔄,2
excise,,✂️,2
excision,,✂️,2
excitability,,😆,2
excitable,,😆,2
excite,,😆,2
excited,,🤩,3
excitement,,🤩,2
exciting,,🤩,3
exclaim,,❗️,2
exclamation,,❗️,3
exclamatory,,❗️,2
exclude,,🚫,2
excluding,,🚫,2
exclusion,,🚫,2
exclusive,,🔒️,2
exclusivity,,🔒️,2
excommunicate,,⛪️,2
excommunication,,⛪️,2
excrement,,💩,3
excrescence,,🦠,1
excreta,,💩,2
excrete,,💩,2
excretion,,💩,2
excretory,,💩,1
excruciating,,😖,2
excursion,,🚌,2
excusable,,🙏,2
excuse,,🙏,2
execrable,,🤢,2
execute,,⚡️,2
execution,,⚡️,2
executioner,,🪓,3
executive,,💼,3
executor,,📜,2
exemplary,,🏆️,2
exemplification,,📌,1
exemplify,,📌,2
exempt,,🚫,2
exemption,,🚫,2
exercise,,🏋️,3
exert,,💪,2
exertion,,💪,2
exhalation,,💨,2
exhale,,💨,3
exhaust,,🚗,2
exhausted,,😩,3
exhausting,,😩,2
exhaustion,,😩,3
exhaustive,,📋️,2
exhibit,,🖼️,3
exhibition,,🖼️,3
exhibitionism,,😳,1
exhibitionist,,😳,1
exhilarate,,🤩,2
exhilaration,,🤩,2
exhort,,📢,2
exhortation,,📢,2
exhumation,,⚰️,2
exhume,,⚰️,2
exigency,,🚨,1
exigent,,🚨,1
exile,,🚪,2
exist,,🌍️,1
existence,,🌍️,1
existent,,🌍️,1
existential,,🤔,1
existentialism,,🤔,1
existentialist,,🤔,1
exit,,🚪,3
exodus,,🚶,2
exonerate,,✅️,2
exoneration,,✅️,2
exorbitance,,💸,2
exorbitant,,💸,2
exorcise,,👻,2
exorcism,,👻,3
exorcist,,👻,3
exorcize,,👻,2
exotic,,🌺,2
expand,,📈,2
expandable,,📈,2
expanse,,🏞️,2
expansion,,📈,2
expansive,,🏞️,1
expatriate,,✈️,2
expatriation,,✈️,1
expect,,🤰,1
expectancy,,🤰,1
expectant,,🤰,2
expectation,,🤞,2
expectorate,,🤧,1
expedience,,⚡️,1
expediency,,⚡️,1
expedient,,⚡️,1
expedite,,⚡️,2
expedition,,🧭,3
expeditionary,,🧭,2
expeditious,,⚡️,1
expel,,🚫,2
expend,,💸,2
expendable,,💸,2
expenditure,,💸,2
expense,,💸,3
expensive,,💰️,3
experience,,🎢,2
experienced,,🎓️,2
experiment,,🧪,3
experimental,,🧪,2
experimentation,,🧪,2
expert,,🎓️,2
expertise,,🎓️,2
expiate,,🙏,1
expiation,,🙏,1
expiration,,⌛️,2
expire,,⌛️,3
explain,,💬,2
explanation,,💬,2
explanatory,,💬,1
expletive,,🤬,3
explicable,,💬,1
explicate,,💬,1
explication,,💬,1
explicit,,🔞,2
explode,,💥,3
exploit,,💪,1
exploitation,,💪,1
exploitative,,💪,1
exploration,,🧭,3
exploratory,,🧭,2
explore,,🧭,3
explosion,,💥,3
explosive,,💣️,3
expo,,🏛️,2
exponent,,➕️,1
exponential,,📈,2
export,,📦️,2
exportation,,📦️,2
expose,,📸,2
exposition,,🏛️,2
expository,,📖,1
expostulate,,😠,1
exposure,,📸,2
expound,,💬,1
express,,🚆,2
expression,,🙂,2
expressionism,,🎨,2
expressionist,,🎨,2
expressionless,,😐️,3
expressive,,🎭️,2
expressly,,❗️,1
expropriate,,🏦,1
expropriation,,🏦,1
expulsion,,🚫,2
expunge,,🗑️,2
expurgate,,🗑️,1
expurgation,,🗑️,1
exquisite,,💎,2
extant,,📜,1
extemporaneous,,🎤,1
extempore,,🎤,1
extemporize,,🎤,1
extend,,➡️,2
extension,,➡️,2
extensive,,🌐,2
extent,,📏,2
extenuate,,⚖️,1
extenuation,,⚖️,1
exterior,,🏠️,2
exterminate,,🐜,2
extermination,,🐜,2
external,,🌐,2
extinct,,🦖,3
extinction,,🦖,3
extinguish,,🧯,3
extol,,🙌,2
extort,,💰️,2
extortion,,💰️,2
extortionate,,💰️,2
extortionist,,💰️,2
extra,,➕️,2
extract,,⛏️,2
extraction,,⛏️,2
extracurricular,,🎭️,2
extradite,,🚔️,2
extradition,,🚔️,2
extramarital,,💔,1
extraneous,,🚫,1
extraordinary,,🌟,3
extrapolate,,📈,2
extrapolation,,📈,2
extrasensory,,🔮,2
extravagance,,💎,2
extravagant,,💎,2
extravaganza,,🎉,2
extreme,,🔥,2
extremism,,🔥,2
extremist,,🔥,2
extremity,,🦵,2
extricate,,🆓,1
extrication,,🆓,1
extrinsic,,🌐,1
extroversion,,🥳,2
extrovert,,🥳,2
extroverted,,🥳,2
extrude,,🍝,1
extrusion,,🍝,1
exuberance,,🎉,2
exuberant,,🎉,2
exude,,💦,1
exult,,🙌,2
exultant,,🙌,2
exultation,,🙌,2
eye,,👁️,3
eyeful,,👁️,2
eyelet,,🕳️,2
eyrie,,🪺,2
fa,,🎵,1
fable,,📖,3
fabled,,📖,2
fabric,,🧵,3
fabricate,,🔨,2
fabrication,,🔨,2
fabulous,,✨️,2
facade,,🏛️,2
face,,😀,3
faceless,,👤,2
facet,,💎,2
facetious,,😏,2
facial,,😐️,2
facile,,😌,1
facilitate,,🤝,2
facilitation,,🤝,2
facility,,🏢,2
facing,,➡️,1
facsimile,,📠,3
fact,,✅️,2
faction,,🚩,2
factional,,🚩,2
factionalism,,🚩,2
factitious,,🎭️,1
factor,,➗️,2
factory,,🏭️,3
factotum,,🧰,1
factual,,✅️,2
faculty,,🎓️,2
fad,,📈,2
faddish,,📈,1
fade,,🌅,2
fag,,🚬,2
faggot,,🚬,1
fagot,,🚬,1
fail,,❌️,3
failing,,❌️,2
failure,,❌️,3
faint,,😵,3
fair,,🎡,3
fairly,,🎡,1
fairy,,🧚,3
faith,,🙏,2
faithful,,🙏,2
faithless,,💔,2
fake,,🎭️,2
fakir,,🧘,1
falcon,,🦅,3
falconry,,🦅,2
fall,,🍂,3
fallacious,,❌️,1
fallacy,,❌️,2
fallen,,🍂,2
fallibility,,❌️,1
fallible,,❌️,1
fallow,,🌾,1
false,,❌️,3
falsehood,,🤥,2
falsetto,,🎤,1
falsification,,🤥,2
falsify,,🤥,2
falsity,,🤥,2
falter,,🥴,2
fame,,🌟,3
familial,,👪️,2
familiar,,🙂,2
familiarity,,🙂,1
familiarize,,🙂,1
family,,👪️,3
famine,,🍽️,2
famish,,🍽️,1
famished,,🍽️,2
famous,,🌟,3
fan,,🌀,3
fanatic,,🤪,2
fanatical,,🤪,2
fanaticism,,🤪,2
fancier,,🎩,1
fanciful,,🦄,2
fancy,,🎩,2
fang,,🦷,3
fanny,,🍑,2
fantasize,,💭,2
fantastic,,🌟,2
fantasy,,🐉,3
far,,🏞️,1
farce,,🎭️,2
farcical,,🎭️,2
fare,,💵,2
farina,,🌾,1
farm,,🚜,3
farmer,,🌾,3
farming,,🚜,3
fart,,💨,3
farther,,➡️,1
farthest,,➡️,1
fascinate,,😲,2
fascinating,,😲,2
fascination,,😲,2
fascism,,✊️,1
fascist,,✊️,1
fashion,,👗,3
fashionable,,👗,2
fast,,🏃,2
fasten,,🔒️,2
fastening,,🔒️,2
fastidious,,🧐,2
fastness,,🏰,1
fat,,🐷,2
fatal,,💀,2
fatalism,,🔮,1
fatalist,,🔮,1
fatalistic,,🔮,1
fatality,,💀,2
fate,,🔮,2
fated,,🔮,1
fateful,,🔮,1
father,,👨,3
fatherhood,,👨,2
fatherless,,👨,1
fatherly,,👨,2
fathom,,📏,2
fathomless,,🌊,1
fatigue,,😴,3
fatten,,🐖,1
fattening,,🍔,2
fatty,,🍔,2
fatuous,,🙄,1
faucet,,🚰,3
fault,,⚠️,2
faultless,,✅️,2
faulty,,⚠️,2
faun,,🐐,1
fauna,,🦌,2
favor,,🙏,2
favorable,,👍️,2
favorite,,⭐️,3
favoritism,,⭐️,1
favour,,🙏,2
fawn,,🦌,2
fax,,📠,3
faze,,😳,1
fealty,,🤝,1
fear,,😨,3
fearful,,😨,3
fearless,,🦁,2
fearsome,,👹,2
feasibility,,🤔,1
feasible,,👍️,1
feast,,🍗,3
feat,,🏆️,2
feather,,🪶,3
feathered,,🪶,2
feathery,,🪶,2
feature,,📰,2
features,,📰,1
febrile,,🤒,2
fecal,,💩,2
feces,,💩,3
feckless,,😩,1
fecund,,🌱,1
fecundity,,🌱,1
fed,,🍽️,1
federal,,🏛️,2
federalism,,🏛️,1
federalist,,🏛️,1
federate,,🤝,1
federation,,🏛️,2
fee,,💵,3
feeble,,🥴,2
feed,,🍽️,3
feel,,✋️,2
feeler,,✋️,1
feeling,,❤️,2
feelings,,❤️,2
feet,,🦶,3
feign,,🎭️,2
feint,,🎭️,1
feisty,,😤,2
feldspar,,🪨,1
felicitous,,😊,1
felicity,,😊,1
feline,,🐱,3
fell,,🌲,2
fellatio,,💋,1
fellow,,🧑,2
fellowship,,🤝,2
felon,,🚔️,2
felonious,,🚔️,1
felony,,🚔️,3
felt,,🧵,2
female,,♀️,3
feminine,,♀️,2
femininity,,♀️,2
feminism,,♀️,2
feminist,,♀️,2
femoral,,🦵,1
femur,,🦴,2
fen,,🌾,1
fence,,🚧,3
fencing,,🤺,3
fend,,🛡️,2
fender,,🚗,2
fennel,,🌿,2
feral,,🐺,2
ferment,,🍷,2
fermentation,,🍷,2
fern,,🌿,3
ferocious,,😾,2
ferocity,,😾,2
ferret,,🦫,2
ferric,,⚙️,1
ferrous,,⚙️,1
ferrule,,🔩,1
ferry,,⛴️,3
fertile,,🌱,2
fertility,,🌱,2
fertilization,,🌱,2
fertilize,,🌱,2
fertilizer,,🌱,3
fervent,,🔥,2
fervid,,🔥,2
fervor,,🔥,2
festal,,🎉,1
fester,,🦠,2
festival,,🎪,3
festive,,🎉,2
festivities,,🎉,2
festivity,,🎉,2
festoon,,🎊,2
feta,,🧀,2
fetal,,🤰,2
fetch,,🎾,2
fetching,,😍,1
fete,,🎉,2
fetid,,🤢,2
fetish,,🔗,1
fetishism,,🔗,1
fetishist,,🔗,1
fetlock,,🐴,1
fetter,,⛓️,2
fettle,,💪,1
fetus,,🤰,3
feud,,⚔️,2
feudal,,🏰,2
feudalism,,🏰,2
fever,,🤒,3
feverish,,🤒,2
few,,🔢,1
fey,,🧚,1
fez,,🧢,2
fiance,,💍,2
fiancee,,💍,2
fiasco,,💥,2
fiat,,📜,1
fib,,🤥,2
fiber,,🧵,2
fibre,,🧵,2
fibrous,,🧵,1
fibula,,🦴,2
fibulae,,🦴,1
fiche,,🎞️,1
fickle,,🔄,2
fiction,,📚️,2
fictional,,📚️,2
fictionalize,,📚️,1
fictitious,,🎭️,2
fiddle,,🎻,3
